h,m,s,,small_inst,small_empt,small_delay,small_delay,,big_inst,big_empt,big_delay,big_delay,,aiml_inst,aiml_empt,aiml_delay,aiml_delay
22,0,0,,2,0,18.5925826,185.925826,,5,3,0.1616815,1.616815,,2,0,0.3948201,3.948201
22,14,24,,2,0,18.7182786,187.182786,,5,1,0.0403409,0.403409,,2,0,0.1575271,1.575271
22,28,48,,2,0,18.6429097,186.429097,,5,4,0.0481062,0.481062,,2,0,0.8472931,8.472931
22,43,12,,2,0,19.0157292,190.157292,,5,5,0.2680238,2.680238,,2,0,0.7664065,7.664065
22,57,36,,2,0,18.5117593,185.117593,,5,3,0.0105379,0.105379,,2,0,0.2679127,2.679127
23,12,0,,2,0,18.8974891,188.974891,,5,4,0.0738638,0.738638,,2,0,0.4845687,4.845687
23,26,24,,2,0,19.258878,192.58878,,5,4,0.0497935,0.497935,,2,1,0.0273301,0.273301
23,40,48,,2,0,19.7801357,197.801357,,5,3,0.0116828,0.116828,,2,0,0.0277477,0.277477
23,55,12,,2,0,20.358466,203.58466,,5,3,0.1295154,1.295154,,2,0,0.1718511,1.718511
0,9,36,,2,0,20.7975098,207.975098,,5,5,0.0337967,0.337967,,2,2,0.0337967,0.337967
0,23,60,,2,0,20.6364435,206.364435,,5,5,0.0673788,0.673788,,2,2,0.0673788,0.673788
0,38,24,,2,0,20.61034,206.1034,,5,2,0.1735708,1.735708,,2,0,0.2631257,2.631257
0,52,48,,2,0,20.640028,206.40028,,5,4,0.4256881,4.256881,,2,1,0.5811892,5.811892
1,7,12,,2,0,20.9605352,209.605352,,5,5,0.3906928,3.906928,,2,2,0.3906928,3.906928
1,21,36,,2,0,21.0075531,210.075531,,5,4,0.024054,0.24054,,2,1,0.024054,0.24054
1,36,0,,2,0,20.5844068,205.844068,,5,4,0.0745915,0.745915,,2,0,0.5546128,5.546128
1,50,24,,2,0,21.6223263,216.223263,,5,4,0.1152104,1.152104,,2,1,0.1152104,1.152104
2,4,48,,2,0,21.9909797,219.909797,,5,4,0.0077809,0.077809,,2,1,0.0077809,0.077809
2,19,12,,2,0,22.1511652,221.511652,,5,4,0.2206042,2.206042,,2,1,0.2492613,2.492613
2,33,36,,2,0,22.6029303,226.029303,,5,5,0.2187794,2.187794,,2,2,0.2187794,2.187794
2,48,0,,2,0,22.8274427,228.274427,,5,5,0.1634825,1.634825,,2,2,0.1634825,1.634825
3,2,24,,2,0,22.9600121,229.600121,,5,3,0.1125413,1.125413,,2,0,0.0467991,0.467991
3,16,48,,2,0,22.9588411,229.588411,,5,5,0.2479728,2.479728,,2,2,0.0154293,0.154293
3,31,12,,2,0,23.0681608,230.681608,,5,3,0.0451333,0.451333,,2,0,0.3137671,3.137671
3,45,36,,2,0,22.9705376,229.705376,,5,4,0.1006174,1.006174,,2,1,0.2363287,2.363287
4,0,0,,2,0,23.1167392,231.167392,,5,5,0.20559,2.0559,,2,2,0.0512649,0.512649
